A:00 F:40 B:F6 C:10 D:00 E:D8 H:DF L:F5 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F6 C:10 D:00 E:D8 H:DF L:F4 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F5 C:10 D:00 E:D8 H:DF L:F4 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F5 C:10 D:00 E:D8 H:DF L:F4 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F5 C:10 D:00 E:D8 H:DF L:F3 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F4 C:10 D:00 E:D8 H:DF L:F3 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F4 C:10 D:00 E:D8 H:DF L:F3 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F4 C:10 D:00 E:D8 H:DF L:F2 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F3 C:10 D:00 E:D8 H:DF L:F2 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F3 C:10 D:00 E:D8 H:DF L:F2 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F3 C:10 D:00 E:D8 H:DF L:F1 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F2 C:10 D:00 E:D8 H:DF L:F1 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F2 C:10 D:00 E:D8 H:DF L:F1 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F2 C:10 D:00 E:D8 H:DF L:F0 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F1 C:10 D:00 E:D8 H:DF L:F0 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F1 C:10 D:00 E:D8 H:DF L:F0 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F1 C:10 D:00 E:D8 H:DF L:EF SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F0 C:10 D:00 E:D8 H:DF L:EF SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F0 C:10 D:00 E:D8 H:DF L:EF SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F0 C:10 D:00 E:D8 H:DF L:EE SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:60 B:EF C:10 D:00 E:D8 H:DF L:EE SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:60 B:EF C:10 D:00 E:D8 H:DF L:EE SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:60 B:EF C:10 D:00 E:D8 H:DF L:ED SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:EE C:10 D:00 E:D8 H:DF L:ED SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:EE C:10 D:00 E:D8 H:DF L:ED SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:EE C:10 D:00 E:D8 H:DF L:EC SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:ED C:10 D:00 E:D8 H:DF L:EC SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:ED C:10 D:00 E:D8 H:DF L:EC SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:ED C:10 D:00 E:D8 H:DF L:EB SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:EC C:10 D:00 E:D8 H:DF L:EB SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:EC C:10 D:00 E:D8 H:DF L:EB SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:EC C:10 D:00 E:D8 H:DF L:EA SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:02
